,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,New England Patriots*,12,4,0,.750,468,313,155,9.7,1.3,10.9,7.5,3.5
2,Buffalo Bills,9,7,0,.563,343,289,54,3.4,1.6,4.9,-0.4,5.3
3,Miami Dolphins,8,8,0,.500,388,373,15,0.9,1.6,2.6,2.9,-0.4
4,New York Jets,4,12,0,.250,283,401,-118,-7.4,2.3,-5.0,-4.0,-1.0
5,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North,AFC North
6,Pittsburgh Steelers*,11,5,0,.688,436,368,68,4.3,-2.0,2.2,4.4,-2.1
7,Cincinnati Bengals+,10,5,1,.656,365,344,21,1.3,-0.6,0.7,-0.5,1.3
8,Baltimore Ravens+,10,6,0,.625,409,302,107,6.7,-2.1,4.6,1.8,2.8
9,Cleveland Browns,7,9,0,.438,299,337,-38,-2.4,-1.5,-3.9,-4.8,0.9
10,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South,AFC South
11,Indianapolis Colts*,11,5,0,.688,458,369,89,5.6,-1.1,4.4,5.2,-0.8
12,Houston Texans,9,7,0,.563,372,307,65,4.1,-2.3,1.7,-0.8,2.5
13,Jacksonville Jaguars,3,13,0,.188,249,412,-163,-10.2,-0.3,-10.5,-7.8,-2.7
14,Tennessee Titans,2,14,0,.125,254,438,-184,-11.5,-0.3,-11.8,-7.0,-4.9
15,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
16,Denver Broncos*,12,4,0,.750,482,354,128,8.0,1.6,9.6,9.2,0.4
17,San Diego Chargers,9,7,0,.563,348,348,0,0.0,1.9,1.9,0.7,1.2
18,Kansas City Chiefs,9,7,0,.563,353,281,72,4.5,1.2,5.7,0.0,5.7
19,Oakland Raiders,3,13,0,.188,253,452,-199,-12.4,3.4,-9.0,-4.3,-4.7
